,country,driver,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023
165,Japan,forestry,23079,25188,19318,35911,35268,37958,44323,39551,40061,34833,35008,44282,22675,27526,30679,53895,46615,49585,50521,47233,47805,53185,50359
166,Kazakhstan,forestry,1529,1192,1157,2483,2124,1287,2766,2881,2641,1757,3293,1566,2110,515,162,984,753,937,1093,1577,592,3255,17765
167,Kenya,forestry,2383,2405,1683,1141,1284,1630,2524,1615,1125,1171,1817,2113,2010,1988,3176,3728,4007,1653,1052,1234,383,395,1067
168,Kosovo,forestry,998,208,255,542,293,465,709,1089,719,453,749,1572,745,738,457,871,613,582,679,928,508,768,1431
169,Kyrgyzstan,forestry,233,26,3,28,3,2,23,9,8,140,37,7,0,0,0,0,2,0,4,2,5,12,42
170,Laos,forestry,16529,24602,39377,28978,29467,52401,61208,37477,69498,75590,61512,67677,86192,101886,119751,169163,151506,126103,154061,151574,136608,139633,186786
171,Latvia,forestry,24900,29169,21317,30635,40710,38880,36111,29303,34893,48489,44730,34274,27760,32196,30820,44928,47076,46869,57358,50379,48404,57103,54485
172,Lebanon,forestry,265,77,59,93,267,135,165,383,322,107,132,155,136,140,154,248,258,234,370,448,618,544,478
173,Lesotho,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
174,Liberia,forestry,76,325,96,12,20,94,192,118,213,44,157,203,206,410,348,357,484,458,346,507,257,305,262
175,Libya,forestry,0,2,0,1,2,6,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
176,Liechtenstein,forestry,3,0,0,9,6,12,8,9,5,3,2,4,2,3,1,5,4,7,12,3,1,2,1
177,Lithuania,forestry,7955,10337,8906,13088,20362,17440,16023,15177,14399,21645,21720,17563,13916,15962,15784,25506,25769,19736,24542,22947,22616,23704,24748
178,Luxembourg,forestry,69,90,103,311,68,366,502,984,216,880,448,444,348,430,327,521,413,458,509,655,1055,321,913
179,Macao,forestry,1,1,0,0,0,3,4,3,2,1,1,1,0,1,1,0,4,1,3,1,0,1,16
180,Macedonia,forestry,1542,773,780,1699,1176,1788,2166,2853,3060,1921,1895,2380,879,1587,705,1344,1055,1423,1604,1673,2192,2213,2677
181,Madagascar,forestry,116,113,94,246,175,40,164,76,201,112,292,186,268,439,258,312,543,517,453,396,344,350,243
182,Malawi,forestry,48,203,291,532,541,460,673,1022,61,158,1145,936,454,658,405,654,422,379,174,389,510,530,453
183,Malaysia,forestry,39549,39375,30023,42291,46235,45152,68848,59302,111877,77031,93802,144410,64316,163559,107877,131861,112826,113541,91669,55998,58920,56795,72027
184,Maldives,forestry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
185,Mauritius,forestry,29,39,36,53,26,31,30,46,49,6,149,27,46,147,0,0,0,0,0,0,0,0,0
186,Mayotte,forestry,0,0,1,0,0,0,0,0,0,0,0,4,12,16,0,0,1,1,2,2,1,8,0
187,Mexico,forestry,6485,7738,7450,5516,8621,5704,6738,6228,9734,4833,6182,5447,7298,5804,7181,9919,9812,8105,9779,8863,5244,5431,7205
188,Micronesia,forestry,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Moldova,forestry,112,173,83,222,89,146,179,117,152,145,136,1563,138,319,427,743,955,786,722,1264,981,987,1306
190,Mongolia,forestry,7992,3364,4475,3980,1371,1454,2035,5255,4474,1696,411,1059,41,13,0,508,943,48,199,7,33,3,88
191,Montenegro,forestry,773,155,186,796,153,155,954,1278,497,189,427,1085,1937,1176,171,1048,1182,1421,592,770,481,1133,1617
192,Morocco,forestry,606,994,503,546,536,612,662,1026,298,358,851,578,395,820,465,1019,866,695,380,925,454,5352,1115
193,Mozambique,forestry,243,565,294,431,220,899,621,909,531,441,287,522,1155,645,854,817,1134,455,930,485,482,567,524
194,Myanmar,forestry,16295,22380,23843,34119,31043,38775,50006,37465,63516,57323,43573,73144,80998,97401,90383,105119,97039,80118,91524,92096,90325,75526,92994
195,Namibia,forestry,2,3,3,1,1,0,1,4,1,1,3,0,0,0,0,0,1,0,0,0,1,0,1
196,Nepal,forestry,1143,1482,1565,1567,2089,2290,2361,1942,3617,1535,2260,3689,696,793,540,893,1781,1387,1655,1906,2299,1729,2027
197,Netherlands,forestry,508,585,236,1199,1246,1293,1373,936,1280,2951,962,788,459,748,753,1157,1084,1069,2009,1576,2085,1028,1377
198,New Caledonia,forestry,184,93,113,131,170,44,91,42,139,111,100,60,402,318,102,261,175,133,99,156,56,44,206
199,New Zealand,forestry,48360,61186,43186,58744,50313,59684,59738,58080,56851,53065,57368,66460,73610,71087,61642,75898,72524,76548,68687,58786,64395,56481,48462
200,Nicaragua,forestry,425,117,220,300,150,171,240,192,210,376,25,287,196,209,67,61,78,37,17,42,24,34,44
201,Nigeria,forestry,1562,2101,182,146,364,515,742,497,375,769,1094,487,1124,1458,426,1031,1337,979,317,935,1387,795,925
202,North Korea,forestry,11246,4912,6665,10262,15470,11529,12748,15931,11590,17633,5120,15776,4708,10675,10689,11112,8292,7536,25163,14247,13518,8901,10040
203,Northern Cyprus,forestry,14,3,2,5,2,5,8,15,14,4,2,2,6,19,0,1,0,0,1,0,0,525,37
204,Norway,forestry,21704,25501,14284,31855,24126,38982,31227,33061,22622,38931,32011,29051,31928,38402,36304,59234,57068,57922,63433,66579,62516,66194,57844
205,Pakistan,forestry,70,193,297,576,415,671,547,535,420,228,253,97,38,23,2,0,132,57,57,48,28,20,120
206,Palestina,forestry,1,1,0,1,0,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
207,Panama,forestry,416,579,145,414,271,593,370,1057,637,226,281,274,187,270,168,139,330,312,377,364,222,123,258
208,Papua New Guinea,forestry,8275,9628,5139,9599,5947,8977,7749,10572,7508,10908,8617,12346,7865,11830,32828,40048,12823,11968,11280,7726,7579,17675,9870
209,Paraguay,forestry,1964,2245,5067,3261,2046,1226,1662,1775,718,1067,1000,1914,1894,2830,941,1830,2744,1538,959,1373,1160,1538,998
210,Peru,forestry,87,200,89,101,178,152,112,177,136,226,113,246,290,175,208,205,601,125,96,132,125,125,141
211,Philippines,forestry,27009,24272,28320,36755,38365,45039,51491,30148,46545,80704,25228,46145,37934,75452,47477,97608,85872,50824,47215,47870,35831,66059,30696
212,Poland,forestry,18911,30886,33143,41665,81921,37478,57071,47740,46684,71378,56418,54635,34919,56083,42602,86218,95898,96574,76485,74688,77308,71966,76027
213,Portugal,forestry,21551,30574,24699,48694,35887,37197,32984,30304,33975,41099,23804,47290,44664,52682,40842,80873,154034,81745,32646,55440,31859,40268,32582
214,Puerto Rico,forestry,61,34,19,37,42,33,52,10,26,7,23,29,25,32,20,24,124,11,36,25,16,7,4
215,Republic of Congo,forestry,52,22,1,5,9,96,26,17,20,31,12,12,46,28,31,73,70,72,69,64,45,53,70
216,Reunion,forestry,3,191,40,0,38,147,0,0,30,24,116,132,449,142,0,0,0,0,0,0,0,0,0
217,Romania,forestry,16861,15683,9067,17732,18874,12661,37469,17088,15704,17354,16375,29693,12366,18761,10601,22545,18703,18563,11899,26724,14275,15930,25082
218,Russia,forestry,689635,610199,630325,970472,768709,800376,888628,904565,807394,858324,1183701,1380334,899833,929679,784285,1203739,1265841,1073537,1034268,1038596,1014218,1129849,1229605
219,Rwanda,forestry,3,3,4,2,2,0,5,4,14,12,3,1,24,12,3,5,6,16,3,13,8,5,17
220,San Marino,forestry,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
221,Senegal,forestry,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
222,Serbia,forestry,2141,1030,768,2364,1381,1708,2017,2954,2289,2290,2043,3165,2396,4028,2571,4330,3232,3694,3689,4697,3824,4265,7611
223,Sierra Leone,forestry,0,1,0,1,1,0,0,0,2,1,1,5,14,7,7,7,9,8,26,6,4,6,10
224,Singapore,forestry,1,3,0,0,6,0,1,0,0,0,0,0,0,1,1,8,23,0,1,12,2,4,6
225,Slovakia,forestry,3712,3894,3574,4505,24202,7435,9113,12852,10722,16464,11103,9010,4979,17101,5216,16778,14000,17499,10231,11871,6066,5174,9820
226,Slovenia,forestry,588,691,509,1169,1861,1185,2058,1823,1900,1414,1421,884,631,4971,921,4902,4746,8033,3397,3829,2210,2837,4596
227,Solomon Islands,forestry,524,926,536,748,860,585,1123,1751,1311,1059,1217,1275,988,1381,1671,2797,2504,2151,1550,1946,1813,2071,1309
228,Somalia,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,South Africa,forestry,69642,42147,85765,65251,96935,94914,40841,74027,58810,53705,61865,77049,46735,56426,53720,60558,77246,48449,57256,43637,40160,31064,21360
230,South Korea,forestry,5318,4520,3453,10951,8525,9600,7643,13113,15550,13860,11211,15344,9170,12965,16889,21912,20182,21266,20216,19557,16932,25142,21285
231,Spain,forestry,27689,31785,19633,56807,34850,59761,52678,39939,56512,48003,35528,58349,56327,66092,56366,93122,83762,104676,62525,90723,72801,116385,79064
232,Sri Lanka,forestry,2932,2477,2541,3774,3829,5614,6117,5033,8038,4575,8632,10974,5391,9599,5101,13402,10855,10495,8378,8766,10720,6652,9015
233,Sudan,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Swaziland,forestry,6356,3561,5389,5038,4364,8518,6182,4308,10384,5847,2160,3267,2748,4167,2705,4334,5130,1668,3285,2338,2408,1490,1570
235,Sweden,forestry,143701,175968,91702,268849,247017,246034,181658,290583,205833,260928,203786,231364,195568,240590,214166,307725,329177,286963,327516,337859,331577,328580,313165
236,Switzerland,forestry,1135,862,411,3744,2273,1990,1804,2358,2207,1689,1909,1484,765,1464,752,1612,2453,3050,3350,3834,3346,1933,3084
237,Syria,forestry,163,91,71,29,114,210,1134,675,66,88,82,2630,819,669,2178,1579,1672,789,1003,2288,1496,388,1426
238,Taiwan,forestry,964,834,1011,1683,1371,1870,1547,2076,7919,2276,1358,1321,860,942,882,3037,2373,1769,1307,1335,1361,1377,1844
239,Tajikistan,forestry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,Tanzania,forestry,4391,4543,3418,2202,3708,1512,4188,4606,2972,3434,3889,4414,4898,4910,3163,4102,5314,4800,3680,5400,5289,5046,6001
241,Thailand,forestry,21753,34915,32469,54535,48726,56135,48883,44047,73763,77241,53935,63357,38881,69907,63153,90743,112876,75638,70216,64137,67816,60990,77220
242,Timor-Leste,forestry,246,593,232,659,417,805,406,124,921,185,244,497,139,441,193,353,508,411,467,436,442,318,389
243,Trinidad and Tobago,forestry,38,72,35,4,26,98,20,7,36,82,2,10,13,27,6,16,13,15,19,10,1,2,6
244,Tunisia,forestry,157,167,347,244,423,196,465,397,515,215,560,768,828,1124,737,734,6465,391,221,515,1638,1949,1819
245,Turkey,forestry,21992,24695,17309,27485,19726,24909,24198,26827,25785,16337,23093,26994,21787,21303,27207,24960,33162,34896,38233,44179,77664,52332,52958
246,Turkmenistan,forestry,0,15,4,3,10,3,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Uganda,forestry,436,164,312,314,285,444,470,469,222,315,537,214,410,527,579,821,1340,1059,1013,962,803,955,1285
248,Ukraine,forestry,27520,25510,36375,47185,35060,40122,61987,50242,44943,50151,57814,53011,36539,45576,46243,97502,81427,70781,43636,70584,59510,45561,65897
249,United Kingdom,forestry,19829,18099,1578,23299,7447,18469,29425,10246,35100,26366,20957,33214,26608,28060,22540,27376,21920,25091,26658,21741,24801,33025,21266
250,United States,forestry,1598140,1487336,1218637,1762798,1657389,1677472,1814706,1803349,1278898,1504997,1340085,1594448,1311445,1452637,1378218,1729416,1799313,1616776,1450440,1484818,1595595,1421187,1129202
251,Uruguay,forestry,5069,4329,7404,11574,11637,15778,15213,17590,14181,12847,20733,21275,14331,20602,14506,17808,15984,15852,10847,8966,12338,10982,12426
252,Uzbekistan,forestry,0,4,1,0,0,1,2,1,9,0,4,2,1,0,0,0,0,0,0,0,0,0,0
253,Vanuatu,forestry,0,0,49,1,2,8,0,1,659,4,376,1,11,12,74,18,1,1,2,2,3,1,7
254,Venezuela,forestry,6558,7236,5728,8439,8903,9404,7370,10573,8060,6099,4820,5541,4692,3594,1777,5409,1680,3159,11870,2864,553,749,1840
255,Vietnam,forestry,24702,25745,19296,36169,48207,32373,37243,52467,66237,70559,56157,82678,65477,111109,116809,178238,152227,114922,107681,102548,97866,85716,67764
256,Zambia,forestry,0,0,0,3,0,6,3,3,0,151,0,15,93,109,0,0,2,2,2,0,0,0,1
257,Zimbabwe,forestry,3387,2548,3479,3828,3624,8444,3077,1240,5892,1449,4189,5305,4917,4362,7067,5776,14162,2994,6527,2694,2937,3659,1985
258,Albania,shifting agriculture,73,8,7,19,12,17,53,40,104,18,127,146,30,19,15,42,60,60,48,92,251,143,19
259,Algeria,shifting agriculture,1559,1107,1343,2178,1908,2270,2363,3451,3893,860,3499,3977,2337,3070,2462,3193,15767,2528,2645,5768,10331,3409,4776
260,Angola,shifting agriculture,98079,58604,50981,69687,91730,75436,143365,102186,164206,156713,180561,176701,165503,209660,160118,227899,278306,240531,174306,246223,295689,265470,267074
261,Antigua and Barbuda,shifting agriculture,21,17,16,24,60,57,35,43,59,16,25,31,19,23,9,14,70,152,23,13,35,32,17
262,Argentina,shifting agriculture,40471,22358,58363,86773,85571,65116,89499,125325,65311,80301,101836,105388,110532,66008,42334,62096,72933,47910,41647,56663,50072,61895,52993
263,Armenia,shifting agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
264,Aruba,shifting agriculture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,Australia,shifting agriculture,376,625,644,837,810,1069,1330,882,1280,446,6786,803,1420,7861,2311,2185,4541,1471,5163,1245,708,615,746
266,Azerbaijan,shifting agriculture,34,64,70,65,28,15,21,159,33,34,4,128,30,80,1,2,1,1,0,2,33,43,96
267,Bahamas,shifting agriculture,17,64,13,45,40,37,157,45,40,21,15,20,23,37,88,643,674,131,63,101,52,72,75
268,Bangladesh,shifting agriculture,1026,1121,480,734,478,1814,684,675,642,512,531,482,462,1029,675,1375,3336,2059,2419,2401,2187,1682,2439
269,Barbados,shifting agriculture,6,7,1,8,7,3,23,9,7,11,15,101,4,2,2,8,16,22,54,22,15,5,6
270,Belarus,shifting agriculture,1,3,1,5,12,3,4,3,9,3,10,1,0,1,6,8,6,1,1,0,0,6,1
271,Belgium,shifting agriculture,27,47,9,13,28,28,26,49,29,63,30,18,3,21,28,53,40,47,85,66,71,41,65
272,Belize,shifting agriculture,7638,11897,6500,3851,7300,3835,11516,7641,9423,8775,22757,9296,14645,13132,10193,15907,14405,9731,14789,19712,7873,6932,20124
273,Benin,shifting agriculture,3732,3470,3474,682,1589,1793,4648,477,4925,523,647,2848,1308,1352,598,2002,2217,1822,766,1599,1695,1668,2599
274,Bhutan,shifting agriculture,2,17,7,17,9,13,8,15,12,78,13,8,3,3,6,10,21,259,30,19,10,11,18
275,Bolivia,shifting agriculture,68127,76158,79684,77191,106722,70947,66046,101896,78928,125000,129628,107970,65898,93357,39005,113292,102084,55336,98828,125348,128241,153558,115191
276,Botswana,shifting agriculture,6,8,2,4,10,6,3,1,5,10,1,3,6,3,0,0,0,1,0,0,0,0,1
277,Brazil,shifting agriculture,691382,758474,631048,711422,764146,727085,647063,696696,526280,769124,473133,774269,672072,852690,652265,1895223,1328853,939084,755433,844939,770656,899444,954496
278,British Virgin Islands,shifting agriculture,4,3,1,3,4,2,5,5,5,3,14,1,2,0,0,3,118,6,1,0,4,2,2
279,Brunei,shifting agriculture,21,5,20,38,82,17,109,27,41,27,27,22,9,19,21,29,22,6,12,15,11,4,8
280,Bulgaria,shifting agriculture,14,1,11,45,43,10,10,14,38,2,4,3,3,10,2,4,6,9,3,3,5,4,6
281,Burkina Faso,shifting agriculture,33,2,0,1,4,2,2,3,3,7,8,0,0,0,0,0,0,0,0,0,0,0,0
282,Burundi,shifting agriculture,1391,976,1278,607,964,341,1823,1976,872,1866,939,857,1382,1921,1454,1563,1767,2846,2376,1847,2265,1601,1939
283,Cambodia,shifting agriculture,8182,17808,20125,24239,17747,20099,18819,19584,34762,67348,30671,31938,21972,27673,24272,29804,21684,23788,28974,31078,30643,21616,23668
284,Cameroon,shifting agriculture,36794,28244,23755,22248,24037,34491,43458,33033,34523,53880,25418,48573,80764,175737,76541,113547,181269,116700,118674,198597,165141,144054,200740
285,Canada,shifting agriculture,621,1004,412,925,627,849,812,513,390,860,454,1152,723,1195,704,1248,644,1020,1270,869,1306,1270,19598
286,Central African Republic,shifting agriculture,28719,31375,12492,13668,27968,56070,35489,31009,45728,47086,46963,54686,41980,55834,26877,50403,62551,40542,48431,54420,65985,50212,54066
287,Chad,shifting agriculture,873,1918,159,443,466,2972,996,3396,1045,251,918,2478,2894,2999,2591,3165,6763,6930,5054,3431,5095,5445,11067
288,Chile,shifting agriculture,3181,2043,2735,2593,4352,1912,4260,5259,1800,2568,2661,3846,3019,5472,3409,3489,6254,2080,2777,2759,4891,3266,3044
289,China,shifting agriculture,823,1202,926,1322,1233,2045,2800,2294,2598,3142,1940,3283,1537,1869,1994,2298,1968,1710,1996,1670,1727,2055,2775
290,Colombia,shifting agriculture,187443,136397,99129,191684,144362,144018,187062,162262,188140,152834,132027,179373,95859,139705,103295,225926,305366,222598,195303,217582,182264,184613,154865
291,Comoros,shifting agriculture,24,33,17,35,66,11,59,27,99,76,113,61,1283,1184,384,58,187,42,177,175,120,97,107
292,Costa Rica,shifting agriculture,14473,12208,7821,8324,14680,9427,10486,20227,20896,12448,9699,9713,6876,9862,3040,13174,21366,11737,10879,7931,7484,8198,8547
293,Côte d'Ivoire,shifting agriculture,119657,141236,83966,47329,64293,95466,89094,123773,104139,90489,120246,94775,172268,342333,150165,218289,352481,320430,238507,244676,179689,169494,187650
294,Croatia,shifting agriculture,0,0,0,5,2,1,1,5,20,15,5,8,2,0,1,8,1,1,1,1,2,2,34
295,Cuba,shifting agriculture,13132,6760,4222,11206,7248,7078,4163,10596,8212,5023,9545,7094,3300,2901,3594,69050,22940,6214,3627,5495,5706,2994,15269
296,Cyprus,shifting agriculture,4,5,2,9,3,10,8,3,2,2,7,5,1,14,3,9,1,1,1,2,8,3,3
297,Czech Republic,shifting agriculture,3,1,0,2,4,1,1,1,2,7,5,2,0,3,0,1,1,2,2,1,2,0,2
298,Democratic Republic of the Congo,shifting agriculture,449704,509256,271599,395404,478360,448829,457536,399542,626929,804496,425278,623479,910507,1325448,921436,1370471,1457482,1363736,1210326,1298776,1237500,1209690,1314821
299,Denmark,shifting agriculture,1,1,0,0,5,1,0,1,1,3,3,0,2,2,2,1,5,8,4,2,4,4,1
300,Dominica,shifting agriculture,22,12,27,79,52,25,40,93,74,92,44,144,22,12,2,7,23290,778,56,65,30,32,145
301,Dominican Republic,shifting agriculture,10192,9234,9916,18323,23081,12398,14859,20365,12920,13128,12336,16475,10348,11673,13270,23742,25952,13262,14040,18736,13157,11503,20590
302,Ecuador,shifting agriculture,42518,28710,13158,35324,38374,33329,57926,50379,55012,32758,42158,71803,46661,29679,29228,42811,69678,37795,34755,47998,29590,51596,41901
303,Egypt,shifting agriculture,4,0,0,1,0,1,3,2,3,1,3,17,5,6,0,0,0,1,0,0,0,0,3
304,El Salvador,shifting agriculture,9243,4404,5807,4300,5642,4328,2676,3141,4054,2642,2998,2349,1872,2168,2211,5360,4394,2486,2107,2056,1383,1506,1622
305,Equatorial Guinea,shifting agriculture,3575,2980,1919,420,1576,1234,3104,4814,5652,6528,7695,4936,7204,19131,7459,9518,11903,7814,9493,4866,8861,7754,8520
306,Ethiopia,shifting agriculture,11045,12440,13373,12822,14853,11718,24869,22920,28401,19519,14696,40520,29799,31481,9971,18890,34697,18360,25040,17438,19138,19371,35514
307,Fiji,shifting agriculture,128,91,167,468,302,261,279,665,601,988,162,299,682,1094,514,4630,808,408,421,514,1303,227,165
308,Finland,shifting agriculture,0,0,1,24,21,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
309,France,shifting agriculture,76,82,82,183,141,171,155,147,122,177,142,180,140,185,135,264,1007,300,416,296,236,442,228
310,French Guiana,shifting agriculture,2152,1851,1208,3115,1990,1639,2189,3260,1716,2244,1526,5192,2028,3094,2178,4657,3078,2792,2335,3061,1421,2802,3524
311,Gabon,shifting agriculture,13950,13074,15929,9507,16287,18209,15233,16236,15518,9782,17198,16864,41965,44676,25017,31532,37382,26302,27974,21248,17914,29014,19550
312,Gambia,shifting agriculture,3,20,6,55,4,4,20,201,4,5,19,28,10,14,1,1,4,1,9,8,12,12,10
313,Ghana,shifting agriculture,42109,74461,23714,16976,40015,25979,37980,36138,36490,18909,34607,34984,77880,116306,55519,114595,111858,147914,85434,132481,98315,115506,108680
314,Greece,shifting agriculture,1,3,8,1,6,4,3,7,3,6,2,107,62,2,3,19,5,2,8,8,11,3,60
315,Grenada,shifting agriculture,31,64,69,630,46,27,63,58,92,141,39,39,25,82,6,58,28,108,21,16,16,20,27
316,Guadeloupe,shifting agriculture,309,49,74,183,198,58,149,124,110,115,70,282,161,194,65,69,55,95,62,45,65,41,36
317,Guatemala,shifting agriculture,47019,48603,80297,48466,83829,44829,103616,62991,70092,52232,35379,74935,48243,53315,43843,148309,71459,64176,80207,74508,43537,39412,55364
318,Guinea,shifting agriculture,18407,28834,9193,17051,14408,15201,33607,21375,23192,15944,27552,24022,145027,131743,160837,214542,230151,181491,192421,177058,166404,129363,153052
319,Guinea-Bissau,shifting agriculture,2312,5804,1015,3427,3864,1931,5859,3126,7331,4568,4142,3258,19353,11868,11702,15126,15413,13400,14700,15995,12904,8932,10851
320,Guyana,shifting agriculture,7807,3296,4647,3030,4472,4328,3892,7539,6462,7850,6416,9384,5740,9340,10276,18083,15673,8560,16607,12048,8203,9211,21782
